,dataset,runtime,coef_of_var
0,Chinatown,7.137387454509735,0.1623263610355295
1,ItalyPowerDemand,26.68729132413864,0.09478926300946107
2,SonyAIBORobotSurface1,42.17468744516373,0.13519701052632901
3,SonyAIBORobotSurface2,51.76057469844818,0.10614685956143464
4,TwoLeadECG,52.0310360789299,0.24345189941488657
5,MoteStrain,61.81650483608246,0.23260585361777153
6,ECGFiveDays,122.22197186946869,0.25946582505724786
7,ECG200,412.4894896745682,0.16610946957466952
8,GunPoint,416.615815281868,0.1751947699925194
9,DodgerLoopWeekend,544.8616809844971,0.17419547640130917
10,DodgerLoopGame,516.0813835263252,0.18265564545874383
11,Coffee,790.5752888321877,0.20990452859905942
12,FreezerSmallTrain,807.7413108944893,0.16518437724282087
13,ToeSegmentation1,1167.447252213955,0.1721093744368992
14,Wine,1256.6471370458603,0.16289719141865086
15,GunPointAgeSpan,1619.0334955453873,0.2043924510867714
16,GunPointMaleVersusFemale,1590.9355109333992,0.2093288400420843
17,ShapeletSim,1423.7376648187637,0.1956068235144006
18,BirdChicken,1438.5767995715141,0.18265228753909846
19,BeetleFly,1395.8661774396896,0.16644495238856344
20,GunPointOldVersusYoung,1595.466101050377,0.18631808377793427
21,ToeSegmentation2,1664.452620446682,0.20195021986343686
22,PowerCons,2423.444811820984,0.2342870617673182
23,DistalPhalanxOutlineCorrect,4614.229092538357,0.2567059579282549
24,ProximalPhalanxOutlineCorrect,5187.81559920311,0.3009418241457769
25,MiddlePhalanxOutlineCorrect,5590.97236686945,0.20128369007424587
26,Herring,9146.04556298256,0.23148559345730327
27,FreezerRegularTrain,10373.564546823502,0.17598364446525772
28,Lightning2,14657.713509202003,0.2025499740367342
29,Ham,16207.025568425655,0.23646215608387233
30,HouseTwenty,39521.3513828516,0.3494098951658373
31,Yoga,90613.48061293364,0.2739619996102535
32,WormsTwoClass,157435.01934331656,0.21595942500232587
33,Strawberry,101983.16246199608,0.3190374585807814
34,Earthquakes,174468.12426030636,0.3593634828202544
35,Computers,205559.7673318982,0.04544568339973327
36,Wafer,99288.63980513811,0.5889051035342276
37,PhalangesOutlinesCorrect,32961.5423694849,0.24382035990877313
38,SmoothSubspace,35.23163449764252,0.08100557583315192
39,BME,183.2235871553421,0.0247177106523633
40,CBF,180.30495131015778,0.030051253961192383
41,UMD,278.3165313601494,0.04391713238031092
42,ArrowHead,751.0888921022415,0.03613005302070531
43,InsectEPGSmallTrain,1156.7356725931168,0.19093966153276964
44,ProximalPhalanxOutlineAgeGroup,2242.081840634346,0.11977480773379214
45,MiddlePhalanxOutlineAgeGroup,2100.1650152802467,0.03810246683334001
46,DistalPhalanxOutlineAgeGroup,2342.6629078388214,0.040377412918042005
47,Meat,4824.893909215927,0.042148027749575524
48,InsectEPGRegularTrain,7423.745695888996,0.23363627533480918
49,DiatomSizeReduction,595.0795220732689,0.04027897668899666
50,FaceFour,1041.225741326809,0.06070248081907371
51,OliveOil,2763.9405514001846,0.06263028201970311
52,Trace,3878.762568831444,0.030394793357878525
53,Car,6133.7915269732475,0.23478115915503525
54,Rock,11335.864051699638,0.45017462055817586
55,CinCECGTorso,18277.836259543896,0.14443196220842422
56,ChlorineConcentration,15091.12888264656,0.025515645646503566
57,LargeKitchenAppliances,205611.38358855247,0.5960818748849556
58,SmallKitchenAppliances,321850.25050348043,0.09680952098641363
59,ScreenType,323493.4775646925,0.08067074139689223
60,RefrigerationDevices,241428.38279688358,0.42034352660972696
61,TwoPatterns,103654.58887261152,1.3191030951514295
62,Beef,1705.3256908655167,0.06124089839544974
63,SyntheticControl,978.1685487627983,0.031108197811650192
64,Symbols,1263.1832646131516,0.20293207014031298
65,MiddlePhalanxTW,2736.464322209358,0.02522695159765944
66,ProximalPhalanxTW,2747.127116858959,0.028161886786233367
67,DistalPhalanxTW,2860.8398926258087,0.029664275064048187
68,GesturePebbleZ1,16301.198969483376,0.48327700872811896
69,GesturePebbleZ2,22047.07212907076,0.08682322240026871
70,OSULeaf,23348.182620465755,0.014853141527622515
71,Plane,1298.0670966506004,0.011293038774465634
72,DodgerLoopDay,3113.4472427368164,0.3406422278633725
73,Lightning7,4038.007871747017,0.04568401378310123
74,Fish,16913.646157741547,0.439960528425321
75,Mallat,13820.825085222721,0.30002877923738297
76,ECG5000,11620.696244597435,0.07095714576712675
77,MixedShapesSmallTrain,29578.337087392807,0.42647938538989194
78,Haptics,57149.98957544565,0.29787217483385686
79,Worms,86192.87406289577,0.17585647633296794
80,InlineSkate,83492.18856871128,0.029656346388538184
81,UWaveGestureLibraryX,142530.5974494815,0.40942308040783687
82,UWaveGestureLibraryZ,201149.82617521286,0.040095561510569935
83,UWaveGestureLibraryY,187710.40604501963,0.004889911083391573
84,PickupGestureWiimoteZ,50561.77691376209,1.5842176682233573
85,ShakeGestureWiimoteZ,4579.012177050114,0.12255684215745351
86,Fungi,5535.594575166702,0.0
87,ACSF1,27678.924553453922,0.4701609831503582
88,InsectWingbeatSound,14732.18971824646,0.6729004041702822
89,FacesUCR,5236.593852162361,0.4726216143117452
90,MelbournePedestrian,1921.4879594445229,0.09501571257215198
91,MedicalImages,3966.18570792675,0.2951911617596352
92,AllGestureWiimoteX,31832.479063510895,0.8494405148682952
93,AllGestureWiimoteZ,58872.276468753815,0.0
94,AllGestureWiimoteY,58872.276468753815,0.0
95,CricketY,25250.85590338707,0.05253394748329712
96,CricketZ,25920.471067011356,0.04353603995009695
97,CricketX,25922.83952832222,0.06034680780832277
98,FaceAll,15099.938176214695,0.3693187530699156
99,SwedishLeaf,9935.715314507484,0.09437997237926225
100,WordSynonyms,22851.701106786728,0.04931813866302759
101,GestureMidAirD2,27331.00342911482,0.05570595318260118
102,GestureMidAirD1,27424.14684075117,0.04602492409461292
103,GestureMidAirD3,26624.911638498306,0.07119507312738524
104,Crop,27741.93696832657,0.0
105,Adiac,20076.918325185776,0.06131566625697615
106,Phoneme,18855.42357063293,0.0
107,FiftyWords,18855.42357063293,0.0
108,PigAirwayPressure,18855.42357063293,0.0
109,PigArtPressure,18855.42357063293,0.0
110,PigCVP,18855.42357063293,0.0
111,ShapesAll,18855.42357063293,0.0
